apartment_id,maintenance_type,maintenance_cost,maintenance_duration,issue_reported_date,issue_resolved_date,predictive_indicator,resident_feedback_score,resource_allocated,billing_cycle,issue_resolved,cost_per_hour
52,Plumbing,363.86,7.41,2023-01-01,2023-01-30,0.8495342154879013,5,Technician B,Yearly,False,49.10391363022942
93,HVAC,356.06,8.43,2023-01-02,2023-01-09,0.08898971485634666,4,Technician A,Yearly,True,42.23724792408066
15,General,328.38,1.91,2023-01-03,2023-01-30,0.9916960733724518,3,Technician C,Monthly,False,171.92670157068062
72,General,388.72,3.16,2023-01-04,2023-01-13,0.5410028989276625,1,Technician A,Yearly,False,123.0126582278481
61,Electrical,121.37,2.28,2023-01-05,2023-01-10,0.984845743967094,5,Technician B,Quarterly,True,53.232456140350884
21,General,446.39,4.13,2023-01-06,2023-01-25,0.9389964220859776,1,Technician B,Yearly,False,108.08474576271186
83,HVAC,442.33,5.05,2023-01-07,2023-02-05,0.45281371421091676,5,Technician A,Yearly,False,87.590099009901
87,Plumbing,63.16,7.74,2023-01-08,2023-01-20,0.1984910746053491,2,Technician C,Monthly,False,8.160206718346252
75,Electrical,421.62,6.86,2023-01-09,2023-01-15,0.16488477656513845,1,Technician C,Monthly,True,61.46064139941691
75,Electrical,107.99,6.59,2023-01-10,2023-01-26,0.2399893638699575,2,Technician A,Quarterly,False,16.386949924127464
88,Plumbing,200.8,4.17,2023-01-11,2023-02-09,0.7101326405645373,1,Technician A,Yearly,False,48.153477218225426
100,General,384.58,8.57,2023-01-12,2023-01-31,0.27294999473148784,3,Technician C,Yearly,False,44.875145857642934
24,Plumbing,122.34,5.24,2023-01-13,2023-01-16,0.3414252696042983,4,Technician B,Yearly,True,23.34732824427481
3,General,418.09,9.81,2023-01-14,2023-02-06,0.4487788039946148,2,Technician A,Quarterly,False,42.61875637104995
22,Plumbing,424.46,6.71,2023-01-15,2023-01-27,0.9132326804214563,5,Technician C,Monthly,False,63.25782414307004
53,HVAC,278.36,2.14,2023-01-16,2023-02-12,0.1893934178848461,3,Technician C,Quarterly,False,130.07476635514018
2,General,52.87,7.09,2023-01-17,2023-02-12,0.005026552609803114,1,Technician B,Yearly,False,7.456981664315938
88,HVAC,179.17,3.93,2023-01-18,2023-02-01,0.06009641037817015,2,Technician B,Monthly,False,45.59033078880407
30,Electrical,327.62,7.18,2023-01-19,2023-01-24,0.9047663416801179,1,Technician B,Monthly,True,45.629526462395546
38,Plumbing,491.53,1.63,2023-01-20,2023-02-12,0.6475164648433631,1,Technician B,Quarterly,False,301.55214723926383
2,Electrical,334.32,2.57,2023-01-21,2023-01-29,0.27304061932780677,1,Technician B,Monthly,False,130.08560311284046
64,Electrical,166.91,8.7,2023-01-22,2023-02-21,0.1771925010111911,4,Technician A,Monthly,False,19.18505747126437
60,Electrical,335.3,3.04,2023-01-23,2023-02-04,0.29426673663711433,4,Technician C,Yearly,False,110.29605263157895
21,Electrical,292.99,8.53,2023-01-24,2023-02-16,0.1147969272512801,5,Technician A,Yearly,False,34.34818288393904
33,Plumbing,400.93,3.51,2023-01-25,2023-02-19,0.9415329102844411,2,Technician A,Monthly,False,114.22507122507123
76,Electrical,98.14,6.79,2023-01-26,2023-01-31,0.7842061743652669,3,Technician A,Monthly,True,14.45360824742268
58,Plumbing,392.46,7.25,2023-01-27,2023-02-25,0.4623911769125407,3,Technician A,Quarterly,False,54.132413793103446
22,Plumbing,293.57,5.61,2023-01-28,2023-02-13,0.864962605115202,3,Technician A,Quarterly,False,52.32976827094474
89,HVAC,483.35,3.75,2023-01-29,2023-01-31,0.2494582042932323,1,Technician B,Monthly,True,128.89333333333335
49,General,203.84,2.91,2023-01-30,2023-02-23,0.7171205684721935,4,Technician B,Yearly,False,70.04810996563573
91,General,334.68,1.3,2023-01-31,2023-02-04,0.8561324990137434,2,Technician C,Monthly,True,257.44615384615383
59,Plumbing,469.41,3.74,2023-02-01,2023-02-16,0.3567687116232726,1,Technician A,Monthly,False,125.51069518716578
42,HVAC,96.13,6.88,2023-02-02,2023-02-09,0.7574644454507177,4,Technician C,Yearly,True,13.972383720930232
92,Plumbing,471.75,9.44,2023-02-03,2023-02-22,0.29507234926430936,4,Technician B,Yearly,False,49.97351694915255
60,Plumbing,359.55,8.84,2023-02-04,2023-03-02,0.2988571352590308,2,Technician B,Quarterly,False,40.67307692307693
80,Plumbing,80.53,7.89,2023-02-05,2023-02-07,0.10705717855418606,2,Technician B,Quarterly,True,10.206590621039291
15,HVAC,185.43,8.1,2023-02-06,2023-02-13,0.4400580465093987,2,Technician A,Quarterly,True,22.892592592592596
62,General,368.68,6.98,2023-02-07,2023-02-14,0.7297119064974222,1,Technician A,Quarterly,True,52.81948424068768
62,HVAC,80.31,3.34,2023-02-08,2023-03-02,0.940220805571285,5,Technician B,Yearly,False,24.04491017964072
47,Electrical,311.98,9.16,2023-02-09,2023-02-26,0.6037969919290961,2,Technician C,Monthly,False,34.0589519650655
62,HVAC,205.65,7.04,2023-02-10,2023-03-12,0.863135537735739,5,Technician C,Quarterly,False,29.211647727272727
51,HVAC,329.41,6.04,2023-02-11,2023-02-17,0.8224946492902271,1,Technician B,Quarterly,True,54.53807947019868
55,HVAC,70.58,2.0,2023-02-12,2023-03-02,0.17334305297528085,5,Technician C,Yearly,False,35.29
64,HVAC,442.19,5.02,2023-02-13,2023-02-24,0.48581742891263147,3,Technician B,Yearly,False,88.08565737051794
3,General,488.07,5.14,2023-02-14,2023-03-15,0.11692353552539148,5,Technician C,Monthly,False,94.95525291828794
51,Electrical,486.0,8.78,2023-02-15,2023-03-09,0.682153161561635,2,Technician B,Monthly,False,55.35307517084283
7,General,387.34,5.92,2023-02-16,2023-03-07,0.949899668246076,1,Technician C,Yearly,False,65.42905405405405
21,General,108.54,4.42,2023-02-17,2023-02-25,0.1370894580787565,2,Technician A,Quarterly,False,24.556561085972852
73,HVAC,391.22,9.79,2023-02-18,2023-02-22,0.7338831308025413,3,Technician B,Quarterly,True,39.9611848825332
39,Plumbing,61.06,2.0,2023-02-19,2023-03-05,0.632238150867861,2,Technician B,Quarterly,False,30.53
18,Plumbing,59.96,4.8,2023-02-20,2023-03-08,0.5836050370080997,2,Technician C,Monthly,False,12.491666666666667
4,General,195.62,1.38,2023-02-21,2023-03-14,0.39012023468833923,2,Technician B,Quarterly,False,141.7536231884058
89,General,269.89,7.66,2023-02-22,2023-03-14,0.35513164775381256,4,Technician B,Quarterly,False,35.23368146214099
60,HVAC,396.68,9.26,2023-02-23,2023-02-27,0.04524918901888786,3,Technician B,Yearly,True,42.83801295896328
14,General,357.48,3.52,2023-02-24,2023-03-01,0.21790870825201347,2,Technician A,Quarterly,True,101.55681818181819
9,HVAC,250.66,8.73,2023-02-25,2023-03-03,0.015176882286826898,2,Technician A,Yearly,True,28.712485681557844
90,Plumbing,173.13,3.63,2023-02-26,2023-02-28,0.5814171055820205,2,Technician C,Quarterly,True,47.69421487603306
53,Plumbing,498.71,9.2,2023-02-27,2023-03-04,0.10585323587790885,1,Technician A,Monthly,True,54.207608695652176
2,Electrical,241.78,7.79,2023-02-28,2023-03-13,0.8730193940297161,4,Technician C,Quarterly,False,31.037227214377406
84,Plumbing,253.12,8.24,2023-03-01,2023-03-30,0.5231430206971652,1,Technician A,Quarterly,False,30.718446601941746
92,General,123.63,1.16,2023-03-02,2023-03-30,0.6996899090587084,4,Technician C,Yearly,False,106.57758620689656
60,Plumbing,407.66,9.67,2023-03-03,2023-03-28,0.41085709184049646,2,Technician A,Yearly,False,42.15718717683558
71,HVAC,362.16,7.54,2023-03-04,2023-03-15,0.5605798090010486,3,Technician A,Yearly,False,48.03183023872679
44,Plumbing,149.35,3.74,2023-03-05,2023-03-29,0.9426591769666305,5,Technician C,Quarterly,False,39.9331550802139
8,Electrical,87.07,8.46,2023-03-06,2023-04-01,0.08273403962367076,5,Technician B,Quarterly,False,10.291962174940897
47,Plumbing,356.22,3.53,2023-03-07,2023-03-29,0.25393777192369615,2,Technician B,Monthly,False,100.91218130311616
35,HVAC,344.53,8.85,2023-03-08,2023-04-07,0.7799883269105443,1,Technician A,Quarterly,False,38.929943502824855
78,HVAC,172.97,2.01,2023-03-09,2023-04-05,0.09873720688266585,3,Technician C,Monthly,False,86.05472636815921
81,General,477.89,7.33,2023-03-10,2023-03-31,0.07566110390411085,4,Technician B,Yearly,False,65.19645293315143
36,Plumbing,117.98,5.87,2023-03-11,2023-04-05,0.36154139875403857,2,Technician C,Yearly,False,20.098807495741056
50,HVAC,244.55,1.87,2023-03-12,2023-04-07,0.09216795847243231,3,Technician B,Yearly,False,130.77540106951872
